iter	Passed	Remaining
599	2842	1894
600	2846	1889
601	2851	1885
602	2855	1879
603	2858	1874
604	2863	1869
605	2867	1864
606	2871	1859
607	2875	1853
608	2880	1849
609	2884	1844
610	2888	1839
611	2892	1833
612	2896	1828
613	2900	1823
614	2904	1818
615	2908	1813
616	2913	1808
617	2917	1803
618	2921	1798
619	2925	1793
620	2930	1788
621	2933	1783
622	2937	1777
623	2941	1772
624	2945	1767
625	2950	1762
626	2954	1757
627	2957	1752
628	2962	1747
629	2966	1741
630	2970	1736
631	2974	1731
632	2978	1726
633	2982	1721
634	2986	1716
635	2990	1711
636	2995	1706
637	2999	1701
638	3003	1696
639	3007	1691
640	3011	1686
641	3016	1681
642	3020	1676
643	3023	1671
644	3028	1666
645	3032	1661
646	3036	1656
647	3040	1651
648	3045	1647
649	3049	1641
650	3053	1636
651	3057	1631
652	3063	1627
653	3067	1622
654	3070	1617
655	3075	1612
656	3079	1607
657	3083	1602
658	3087	1597
659	3091	1592
660	3095	1587
661	3100	1582
662	3104	1577
663	3107	1572
664	3112	1567
665	3115	1562
666	3119	1557
667	3123	1552
668	3128	1548
669	3132	1543
670	3136	1538
671	3140	1532
672	3145	1528
673	3149	1523
674	3153	1518
675	3157	1513
676	3161	1508
677	3166	1503
678	3169	1498
679	3174	1493
680	3178	1488
681	3182	1484
682	3186	1479
683	3191	1474
684	3195	1469
685	3199	1464
686	3203	1459
687	3208	1455
688	3212	1450
689	3216	1445
690	3220	1440
691	3225	1435
692	3229	1430
693	3233	1425
694	3237	1420
695	3242	1416
696	3246	1411
697	3250	1406
698	3254	1401
699	3259	1396
700	3262	1391
701	3266	1386
702	3270	1381
703	3275	1377
704	3279	1372
705	3283	1367
706	3286	1362
707	3291	1357
708	3295	1352
709	3299	1347
710	3303	1342
711	3308	1338
712	3312	1333
713	3315	1328
714	3320	1323
715	3325	1318
716	3328	1313
717	3332	1308
718	3336	1304
719	3341	1299
720	3344	1294
721	3349	1289
722	3353	1284
723	3357	1279
724	3361	1274
725	3364	1269
726	3369	1265
727	3373	1260
728	3377	1255
729	3381	1250
730	3384	1245
731	3389	1240
732	3393	1236
733	3397	1231
734	3401	1226
735	3406	1221
736	3410	1216
737	3414	1212
738	3418	1207
739	3423	1202
740	3427	1197
741	3431	1193
742	3434	1188
743	3439	1183
744	3443	1178
745	3447	1173
